#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LIPG	MGLL	9606.ENSP00000261292	9606.ENSP00000265052	0	0	0	0	0	0	0.900	0.294	0.926
LPAR1	S1PR1	9606.ENSP00000363553	9606.ENSP00000305416	0	0	0	0.866	0.059	0	0	0.418	0.428
LPAR1	LPAR3	9606.ENSP00000363553	9606.ENSP00000359643	0	0	0	0.943	0.042	0	0.900	0.406	0.938
LPAR1	SNCA	9606.ENSP00000363553	9606.ENSP00000500990	0	0	0	0	0.103	0	0	0.400	0.438
LRRK2	PPP1CA	9606.ENSP00000298910	9606.ENSP00000326031	0	0	0	0	0.050	0.328	0	0.157	0.416
LRRK2	PRKDC	9606.ENSP00000298910	9606.ENSP00000313420	0	0	0	0	0	0.637	0	0.091	0.656
LRRK2	SNCA	9606.ENSP00000298910	9606.ENSP00000500990	0	0	0	0	0.071	0.512	0	0.973	0.986
LSS	MGLL	9606.ENSP00000380837	9606.ENSP00000265052	0	0	0	0	0.047	0.126	0	0.518	0.563
LSS	SIGMAR1	9606.ENSP00000380837	9606.ENSP00000277010	0	0	0	0	0.135	0	0	0.353	0.416
MB	TNF	9606.ENSP00000352835	9606.ENSP00000398698	0	0	0	0	0	0	0	0.479	0.479
MB	RNASE1	9606.ENSP00000352835	9606.ENSP00000381057	0	0	0	0	0	0	0	0.930	0.930
MKNK1	PABPC1	9606.ENSP00000498083	9606.ENSP00000313007	0	0	0	0	0	0	0	0.721	0.721
MMP14	TNF	9606.ENSP00000308208	9606.ENSP00000398698	0	0	0	0	0.089	0	0	0.479	0.505
NAMPT	TNF	9606.ENSP00000222553	9606.ENSP00000398698	0	0	0	0	0.062	0	0	0.622	0.631
NAMPT	SIRT3	9606.ENSP00000222553	9606.ENSP00000372191	0	0	0	0	0.044	0	0.900	0.713	0.970
NEK2	PPP1CA	9606.ENSP00000355966	9606.ENSP00000326031	0	0	0	0	0.062	0.145	0	0.371	0.452
NOD1	TNF	9606.ENSP00000222823	9606.ENSP00000398698	0	0	0	0	0.100	0	0	0.817	0.828
NOX4	SIRT3	9606.ENSP00000263317	9606.ENSP00000372191	0	0	0	0	0	0	0	0.468	0.468
NOX4	TNF	9606.ENSP00000263317	9606.ENSP00000398698	0	0	0	0	0.068	0	0	0.598	0.609
NR3C2	TNF	9606.ENSP00000350815	9606.ENSP00000398698	0	0	0	0	0.057	0	0	0.401	0.411
NR3C2	PTGS1	9606.ENSP00000350815	9606.ENSP00000354612	0	0	0	0	0.047	0	0	0.424	0.427
NR3C2	SGK1	9606.ENSP00000350815	9606.ENSP00000356832	0	0	0	0	0.055	0.053	0	0.676	0.685
PABPC1	PPP1CA	9606.ENSP00000313007	9606.ENSP00000326031	0	0	0	0	0.213	0.237	0	0.209	0.484
PABPC1	TNF	9606.ENSP00000313007	9606.ENSP00000398698	0	0	0	0	0	0.142	0	0.431	0.490
PABPC1	TOP1	9606.ENSP00000313007	9606.ENSP00000354522	0	0	0	0	0.101	0	0	0.513	0.543
PHF8	RARA	9606.ENSP00000350676	9606.ENSP00000254066	0	0	0	0	0.049	0.542	0	0.513	0.770
PIM3	PTP4A3	9606.ENSP00000353824	9606.ENSP00000428976	0	0	0	0	0.085	0	0	0.371	0.401
PLA2G10	PTGS1	9606.ENSP00000393847	9606.ENSP00000354612	0	0	0	0	0	0	0.650	0.428	0.791
PLA2G10	TNF	9606.ENSP00000393847	9606.ENSP00000398698	0	0	0	0	0	0	0	0.472	0.472
PPP1CA	PPP2R5A	9606.ENSP00000326031	9606.ENSP00000261461	0	0	0	0	0.047	0.301	0	0.348	0.527
PPP1CA	PSME3	9606.ENSP00000326031	9606.ENSP00000293362	0	0	0	0	0.155	0	0	0.496	0.556
PPP1CA	PTPA	9606.ENSP00000326031	9606.ENSP00000377036	0	0	0	0	0.067	0.391	0	0.215	0.515
PPP1CA	RPS6KA2	9606.ENSP00000326031	9606.ENSP00000422435	0	0	0	0	0	0	0.650	0.101	0.672
PPP2R5A	PTPA	9606.ENSP00000261461	9606.ENSP00000377036	0	0	0	0	0.042	0.133	0.720	0.485	0.864
PRKDC	RPS6KB1	9606.ENSP00000313420	9606.ENSP00000225577	0	0	0	0	0.068	0.308	0	0.355	0.548
PRKDC	SGK1	9606.ENSP00000313420	9606.ENSP00000356832	0	0	0	0	0	0.308	0	0.212	0.431
PRKDC	TOP1	9606.ENSP00000313420	9606.ENSP00000354522	0	0	0	0	0.080	0.620	0	0.648	0.866
PRMT3	SIGMAR1	9606.ENSP00000331879	9606.ENSP00000277010	0	0	0	0	0.101	0.224	0.120	0.156	0.412
PSME3	TNF	9606.ENSP00000293362	9606.ENSP00000398698	0	0	0	0	0.085	0	0.900	0.160	0.916
PTGDR	PTGER2	9606.ENSP00000303424	9606.ENSP00000245457	0	0	0	0.885	0.113	0	0.400	0.079	0.467
PTGDR	PTGS1	9606.ENSP00000303424	9606.ENSP00000354612	0	0	0	0	0.059	0	0	0.474	0.484
PTGER2	PTGS1	9606.ENSP00000245457	9606.ENSP00000354612	0	0	0	0	0.099	0	0	0.609	0.633
PTGS1	TNF	9606.ENSP00000354612	9606.ENSP00000398698	0	0	0	0	0.108	0	0	0.528	0.561
PTGS1	TBXAS1	9606.ENSP00000354612	9606.ENSP00000389414	0	0	0	0	0.099	0	0	0.857	0.866
PTPRB	TEK	9606.ENSP00000334928	9606.ENSP00000369375	0	0	0	0	0.460	0.170	0	0.787	0.896
RPS6KB1	SIRT3	9606.ENSP00000225577	9606.ENSP00000372191	0	0	0	0	0.049	0.092	0	0.389	0.426
RPS6KB1	TNF	9606.ENSP00000225577	9606.ENSP00000398698	0	0	0	0	0	0	0	0.555	0.555
S1PR1	TNF	9606.ENSP00000305416	9606.ENSP00000398698	0	0	0	0	0.106	0	0	0.475	0.511
SIRT3	TNF	9606.ENSP00000372191	9606.ENSP00000398698	0	0	0	0	0	0	0	0.446	0.446
SLC1A2	SLC1A3	9606.ENSP00000278379	9606.ENSP00000265113	0	0	0.073	0.935	0.140	0	0.900	0.108	0.919
SLC1A2	TNF	9606.ENSP00000278379	9606.ENSP00000398698	0	0	0	0	0	0	0	0.451	0.451
SLC1A2	SNCA	9606.ENSP00000278379	9606.ENSP00000500990	0	0	0	0	0.074	0	0	0.805	0.812
SNCA	TNF	9606.ENSP00000500990	9606.ENSP00000398698	0	0	0	0	0.103	0	0	0.566	0.594
TEK	TNF	9606.ENSP00000369375	9606.ENSP00000398698	0	0	0	0	0.056	0	0	0.546	0.553
