Gene	Pi-score
ACD	0.012237531
ACE	0.066069733
ACE	0.015286082
ACE2	0.009918097
ACER1	-0.070948045
ACER1	-0.006909459
ACER2	0.351217971
ACER2	-0.008349241
ACER3	0.111211971
ACER3	-0.003861941
ACHE	-0.198246856
ACHE	0.019206158
ACHE	-0.004902666
ACIN1	0.0073451
ACKR1	-0.32043972
ACKR2	-0.011553304
ACKR3	0.011574609
ACKR4	0.250797784
ACKR4	0.084409743
ACKR4	0.02732776
ACKR4	0.006822661
ACLY	0.161390625
ACLY	0.000727345
ACMSD	-0.218697587
ACO1	-0.003472407
ACO2	-0.135827
ACOD1	0.095205361
ACOD1	0.003893744
ACOT1	-0.25090985
ACOT1	-0.000155368
ACOT11	0.05874272
ACOT11	-0.001949534
ACOT12	0.00395051
ACOT13	-0.978576462
ACOT2	-0.016704146
ACOT2	0.003647244
ACOT4	-0.074258348
ACOT6	0.001846415
ACOT7	-0.321658967
ACOT7	-0.092995638
ACOT7	-0.036290172
ACOT7	-0.069475429
ACOT7	0.014023
ACOT7	-0.000161331
ACOT8	-0.002944891
ACOT9	-0.024589113
ACOT9	0.009983492
ACOX1	-0.018837742
ACOX1	0.012198014
ACOX1	5.75E-05
ACOX2	-0.035694051
ACOX3	0.051009689
ACP1	-0.100840663
ACP1	-0.008706788
ACP2	-0.056506969
ACP5	-0.06990492
ACP6	0.002565041
ACP7	-0.053147229
ACPP	0.32983246
ACPT	0.365592396
ACPT	0.288846963
ACR	-0.249699994
ACRBP	-0.027243844
ACRC	0.083943801
ACSBG1	-0.225392713
ACSBG2	0.004216742
ACSF2	0.104180982
ACSF2	0.076512051
ACSF3	-0.095526876
ACSL1	-0.146279431
ACSL3	0.430158564
ACSL3	0.121291347
ACSL3	0.0006556
ACSL4	-0.19961152
ACSL4	-0.536913554
ACSL4	-0.163376985
ACSL4	-0.04460467
ACSL5	0.042562193
ACSL5	0.002754733
ACSL5	-0.002410595
ACSL5	-0.000940087
ACSL5	-0.001382242
ACSL6	-0.10008233
ACSL6	0.002741549
ACSL6	-0.000914671
ACSL6	-0.000106163
ACSM1	-0.005631817
ACSM2B	0.037829167
ACSM2B	-0.007736354
ACSM2B	-0.001633422
ACSM3	-1.541757684
ACSM3	-1.317614658
ACSM3	-1.251388768
ACSM4	-0.007638324
ACSM5	0.088375827
ACSM5	0.025356967
ACSM5	-0.007364464
ACSM5	0.005718995
ACSM5	-0.000534829
ACSM6	0.149311724
ACSM6	0.011649948
ACSS1	-0.029315415
ACSS2	0.557106056
ACSS2	0.54917981
ACSS2	-0.130030523
ACSS2	-0.08350597
ACSS3	-0.002038046
ACTA1	-0.004830061
ACTA2	-0.314096225
ACTB	-0.176176614
ACTB	-0.031890913
ACTB	-0.004950103
ACTBL2	-0.043750291
ACTBL2	-0.018475472
ACTC1	-0.054667427
ACTC1	-0.001654864
ACTG1	0.141440075
ACTG1	-0.033434946
ACTG1P4	-0.856638358
ACTG2	-0.001954087
ACTL10	-0.02740915
ACTL6A	-0.044906246
ACTL6A	-1.37E-06
ACTL6B	0.048190414
ACTL7A	0.000750343
ACTL7B	0.002998596
ACTL8	-0.005585921
ACTL9	0.00487252
ACTN1	0.096570783
ACTN2	-0.014965623
ACTN3	-0.002847825
ACTN4	0.209879474
ACTR10	-0.040971632
ACTR1A	0.088868447
ACTR1B	-0.019538837
ACTR2	0.026445616
ACTR3	-0.065150797
ACTR3B	0.097946457
ACTR3B	0.043485203
ACTR3B	-0.059083807
ACTR3B	-0.002816319
ACTR5	-0.240449562
ACTR6	0.259128703
ACTR8	0.000439372
ACTRT1	0.643327364
ACTRT2	0.002503438
ACTRT2	0.000374902
ACTRT3	0.364506628
ACVR1	0.013573485
ACVR1B	0.007050125
ACVR1B	0.006667448
ACVR1B	0.010811126
ACVR1B	0.005206507
ACVR1C	0.231400088
ACVR1C	-0.017665791
ACVR1C	-0.003640186
ACVR2A	0.142145056
ACVR2A	0.0359053
ACVR2B	-0.024331636
ACVR2B	0.001762943
ACVR2B-AS1	-0.000535076
ACVRL1	-0.126180554
ACVRL1	-0.035605729
ACY1	-7.86E-05
ACY3	-0.01870704
ACYP1	-0.155842217
ACYP1	-0.006661962
ACYP2	0.019049285
ACYP2	-0.000875387
ADA	-0.031684981
ADAD1	0.039504218
ADAD2	0.030637176
ADAL	0.000279544
ADAM10	0.013113768
ADAM10	0.000407401
ADAM11	0.008212625
ADAM12	-0.018673274
ADAM12	0.013384102
ADAM15	-1.207133595
ADAM15	-0.061751277
ADAM15	-0.05183409
ADAM15	-0.021831453
ADAM17	0.25821819
ADAM17	0.057975873
ADAM17	-0.016439334
ADAM18	0.028109882
ADAM19	-0.657207655
ADAM19	0.00979818
ADAM2	-0.001944569
ADAM20	0.002699485
ADAM20P1	0.10049111
ADAM21	0.006431593
ADAM21P1	-0.083292082
ADAM22	-0.610603054
ADAM22	0.028751916
ADAM22	-0.000615466
ADAM23	0.054872304
ADAM28	0.039759725
ADAM28	-0.008939317
ADAM28	0.003540603
ADAM29	0.022806638
ADAM30	-0.015312667
ADAM32	-1.126130005
ADAM32	-0.011216201
ADAM32	-0.00929525
ADAM32	-0.005714143
ADAM33	0.068373384
ADAM33	-0.009425117
ADAM3A	0.030171942
ADAM3A	-0.003568049
ADAM3A	0.000313714
ADAM5	0.045370495
ADAM5	-0.007276628
ADAM5	0.008574921
ADAM6	0.000623873
ADAM6	0.000490514
ADAM7	0.119953359
ADAM8	-8.46E-06
ADAM9	0.069527944
ADAMDEC1	0.071368762
ADAMDEC1	2.48E-05
ADAMTS1	-0.185016771
ADAMTS10	-0.015466691
ADAMTS12	-0.02963273
ADAMTS13	-0.0154913
ADAMTS13	-0.004370059
ADAMTS13	-0.006344811
ADAMTS14	-0.163586962
ADAMTS14	-0.006758714
ADAMTS14	-0.000158297
ADAMTS15	-0.02939672
ADAMTS16	-0.017921016
ADAMTS17	0.00887522
ADAMTS18	0.110415488
ADAMTS18	-0.029535528
ADAMTS19	-0.005308853
ADAMTS2	-0.21528699
ADAMTS2	-0.00028131
ADAMTS20	0.015543161
ADAMTS20	-0.009787309
ADAMTS3	-0.534450277
ADAMTS4	-0.055021505
ADAMTS5	0.045910734
ADAMTS6	-0.100584728
ADAMTS7	-0.012211305
ADAMTS7	-0.004427686
ADAMTS8	-0.043868266
ADAMTS9	-0.280783758
ADAMTSL1	-0.400049885
ADAMTSL1	-0.025389263
ADAMTSL1	-0.007104146
ADAMTSL2	0.018189093
ADAMTSL3	0.239310936
ADAMTSL4	-0.111039608
ADAMTSL4	-0.0780126
ADAMTSL4	0.02479022
ADAMTSL5	-0.033196507
ADAP1	-0.236456721
ADAP1	0.047668821
ADAP2	0.002595816
ADAR	-0.163816806
ADAR	-0.003885846
ADAR	-1.31E-05
ADARB1	0.257025293
ADARB1	0.024449247
ADARB1	-0.012492642
ADARB2	0.354980531
ADAT1	-0.010570348
ADAT2	-0.021194739
ADAT2	0.003879685
ADAT3	0.033369765
ADCK1	0.006958692
ADCK2	0.000688336
ADCK5	0.284780165
ADCY1	-0.216571211
ADCY1	-0.068824407
ADCY10	0.019287626
ADCY10	0.007793049
ADCY10P1	0.046131976
ADCY10P1	-0.011915742
ADCY2	-0.088152248
ADCY3	0.008115783
ADCY4	-1.155473504
ADCY5	0.064737599
ADCY7	0.096821982
ADCY8	0.120054241
ADCY9	0.013140055
ADCYAP1	-0.000139143
ADCYAP1R1	0.052682345
ADD1	0.063953206
ADD1	0.028430324
ADD2	-0.547020199
ADD2	0.002792972
ADD3	-0.0028983
ADD3	0.004441382
ADD3	0.001658063
ADD3	0.002250728
ADGB	0.002503985
ADGRA1	-0.000764795
ADGRA2	-0.291103698
ADGRA3	0.039259982
ADGRB1	-0.038681515
ADGRB1	-0.008276583
ADGRB1	-0.007364092
ADGRB1	-0.008028083
ADGRB3	-0.182609766
ADGRD1	0.000176183
ADGRE1	-0.012742269
ADGRE3	-0.05845959
ADGRE3	-0.004461322
ADGRE4P	0.004153993
ADGRE5	0.115220718
ADGRE5	-0.118678846
ADGRE5	-0.055368009
ADGRF1	-0.028714242
ADGRF1	-0.068204581
ADGRF1	-0.027409962
ADGRF1	-0.001362571
ADGRF2	0.007060799
ADGRF3	-0.020494537
ADGRF4	0.046182385
ADGRF5	-0.156698768
ADGRG1	-0.046492372
ADGRG1	0.021953685
ADGRG1	0.021044069
ADGRG2	0.045408584
ADGRG2	0.005839626
ADGRG3	-0.024713646
ADGRG3	-0.013409219
ADGRG3	0.006458548
ADGRG4	-0.303001863
ADGRG5	0.056687516
ADGRG6	-0.226983416
ADGRG7	1.02362503
ADGRG7	1.401840735
ADGRL1	-0.046306763
ADGRL1	0.057573675
ADGRL2	-0.158668313
ADGRL3	0.173287221
ADGRL3	0.208256721
ADGRL4	-0.481014406
ADGRV1	0.001521371
ADGRV1	-0.003015975
ADH1A	0.001611411
ADH1B	0.082889897
ADH1C	0.005821244
ADH4	0.034606536
ADH4	0.001838487
ADH5	-0.019015776
ADH6	1.50E-07
ADH7	0.0019415
ADHFE1	-0.057544666
ADHFE1	0.025097438
ADI1	-0.735930504
ADIG	0.000551357
ADIPOQ	-0.000334828
ADIPOR1	0.008869508
ADIPOR1	0.008122978
ADIPOR2	0.112223963
ADIRF	4.486744514
ADK	0.007173722
ADK	0.005130315
ADK	0.001444222
ADK	-0.000883179
ADM	1.14779288
ADM5	-0.052225551
ADNP	0.039907485
ADNP	0.000666577
ADNP2	0.004146251
ADO	0.043581676
ADORA1	-0.271325473
ADORA1	0.003405013
ADORA1	0.002105464
ADORA1	-1.28E-06
ADORA2A	-0.016156776
ADORA2B	-0.066758943
ADORA3	0.000336143
ADPGK	0.007539095
ADPRH	-0.005590318
ADPRHL1	0.38646856
ADPRHL1	-0.056338562
ADPRHL1	0.007040834
ADPRHL2	-0.049883606
ADPRM	0.020907337
ADRA1A	-0.033428284
ADRA1A	-0.018679026
ADRA1A	0.001108983
ADRA1A	0.00109305
ADRA1A	-1.95E-05
ADRA1B	0.163646094
ADRA1D	-0.084318619
ADRA2A	-0.727519064
ADRA2B	0.2452904
ADRB1	-0.049580067
ADRB2	-0.016194546
ADRB3	0.001468624
ADRM1	-0.088910914
ADRM1	-0.079834652
ADSL	1.58E-05
ADSS	0.072617623
ADSS	-0.027441004
ADSSL1	0.195954159
ADSSL1	-0.057717061
ADSSL1	-0.008221007
ADTRP	-0.00685726
AEBP1	-0.348322541
AEBP2	0.026360817
AEN	-0.092473983
AEN	-0.039786203
AES	-0.057332519
AES	-0.008198833
AES	0.006118848
AFAP1	-0.033393838
AFAP1	0.009663393
AFAP1-AS1	0.002212102
AFAP1L1	-0.040992597
AFAP1L2	0.151258096
AFAP1L2	0.078917136
AFF1	-0.018401143
AFF1	-2.50E-05
AFF2	-0.00199789
AFF3	0.024311471
AFF3	-0.008084056
AFF4	-0.003452979
AFG3L1P	-0.081686931
AFG3L1P	0.048408757
AFG3L1P	-0.011277803
AFG3L2	0.010582963
AFM	-0.000270615
AFMID	-0.121657154
AFMID	-3.76E-05
AFP	0.027927077
AFTPH	0.233771659
AFTPH	-0.112270495
AFTPH	0.050604935
AGA	0.306130198
AGAP1	-0.186086649
AGAP1	0.010829395
AGAP1	-0.003038413
AGAP11	0.279692727
AGAP11	-0.039374652
AGAP2	-1.67E-05
AGAP2-AS1	1.095777704
AGAP3	-0.222763637
AGAP3	0.008754534
AGAP3	0.013727067
AGAP4	-1.61E-05
AGAP6	0.517193275
AGAP6	0.246088063
AGAP9	-0.015931023
AGBL1	-0.285922311
AGBL1	0.003995934
AGBL1	0.000829648
AGBL2	0.050506733
AGBL3	-0.002041459
AGBL4	0.019180969
AGBL5	0.18097796
AGBL5	-0.001299073
AGBL5	0.000390223
AGER	-0.079465972
AGER	-0.019152734
AGER	0.000999595
AGFG1	1.987624298
AGFG1	0.463652908
AGFG1	0.069903241
AGFG1	0.004978517
AGFG1	-0.000500061
AGFG2	-0.049909886
AGFG2	-0.000828236
AGGF1	0.272427409
AGGF1	0.046107917
AGK	-0.104678064
AGL	-0.057047472
AGL	0.077779183
AGL	-0.039319272
AGL	0.05764411
AGL	-0.00918879
AGL	-0.010391494
AGL	0.007501286
AGL	0.001687409
AGMAT	-0.005841086
AGMO	0.069861972
AGO1	-0.106817657
